from,to,value
10.13039/100000028,10.13039/501100003725,1
10.13039/100000185,10.13039/501100001809,1
10.13039/100000185,10.13039/501100004543,1
10.13039/100000185,10.13039/501100000196,1
10.13039/100000185,10.13039/100002418,1
10.13039/100000185,10.13039/501100000024,1
10.13039/100000185,10.13039/100006785,1
10.13039/100000185,10.13039/501100001711,1
10.13039/100000185,10.13039/100006227,1
10.13039/100000185,10.13039/501100001804,1
10.13039/100000050,10.13039/501100002428,1
10.13039/100000050,10.13039/100000053,1
10.13039/100000050,10.13039/501100002347,1
10.13039/100000050,10.13039/501100000925,1
10.13039/100000050,10.13039/100000968,1
10.13039/100000050,10.13039/100000057,1
10.13039/100000050,10.13039/100010663,1
10.13039/100000050,10.13039/501100000923,1
10.13039/100000050,10.13039/100000069,1
10.13039/100014440,10.13039/501100008530,1
10.13039/100014440,10.13039/501100004895,1
10.13039/100014440,10.13039/100014440,1
10.13039/100014440,10.13039/501100003329,1
10.13039/100000009,10.13039/100000092,1
10.13039/100000009,10.13039/100000053,1
10.13039/100000009,10.13039/100014718,1
10.13039/100000009,10.13039/100000065,1
10.13039/501100001381,10.13039/501100010877,1
10.13039/501100001381,10.13039/501100001459,1
10.13039/501100001381,10.13039/501100001381,1
10.13039/100000005,10.13039/100000054,1
10.13039/100000005,10.13039/100000092,1
10.13039/100000005,10.13039/100000070,1
10.13039/100000005,10.13039/100006775,1
10.13039/100000049,10.13039/100000054,1
10.13039/100000049,10.13039/100000092,1
10.13039/100000049,10.13039/501100008982,1
10.13039/100000049,10.13039/100006775,1
10.13039/100000049,10.13039/501100000024,1
10.13039/100000054,10.13039/501100001809,1
10.13039/100000054,10.13039/501100004731,1
10.13039/100000054,10.13039/100008536,1
10.13039/100000054,10.13039/100007065,1
10.13039/100000054,10.13039/100000185,1
10.13039/100000054,10.13039/100000065,1
10.13039/100000054,10.13039/100000057,1
10.13039/100000054,10.13039/100000069,1
10.13039/100000054,10.13039/100000060,1
10.13039/100000057,10.13039/501100001809,1
10.13039/100000057,10.13039/100008536,1
10.13039/100000057,10.13039/501100004543,1
10.13039/100000057,10.13039/100000092,1
10.13039/100000057,10.13039/501100008982,1
10.13039/100000057,10.13039/100000070,1
10.13039/100000057,10.13039/100000145,1
10.13039/100000057,10.13039/100000185,1
10.13039/100000057,10.13039/100000968,1
10.13039/100000057,10.13039/100004917,1
10.13039/100000057,10.13039/100000060,1
10.13039/100000070,10.13039/100008536,1
10.13039/100000070,10.13039/100000092,1
10.13039/100000070,10.13039/501100002428,1
10.13039/100000070,10.13039/100006775,1
10.13039/100000070,10.13039/501100000024,1
10.13039/100000070,10.13039/100010663,1
10.13039/100000104,10.13039/501100000923,1
10.13039/100000104,10.13039/501100001659,1
10.13039/100000104,10.13039/100010661,1
10.13039/100010663,10.13039/501100000781,1
10.13039/100010663,10.13039/501100002428,1
10.13039/100010663,10.13039/501100008530,1
10.13039/100010663,10.13039/501100003593,1
10.13039/100010663,10.13039/501100002347,1
10.13039/100010663,10.13039/501100000925,1
10.13039/100010663,10.13039/501100000923,1
10.13039/100010663,10.13039/501100003246,1
10.13039/100010663,10.13039/501100007601,1
10.13039/100010663,10.13039/501100001665,1
10.13039/501100010031,10.13039/501100012226,1
10.13039/501100003359,10.13039/501100008530,1
10.13039/501100003359,10.13039/501100004895,1
10.13039/501100002338,10.13039/501100012166,1
10.13039/501100012226,10.13039/501100013290,1
10.13039/501100012226,10.13039/501100012659,1
10.13039/501100001804,10.13039/501100002790,1
10.13039/501100001321,10.13039/501100003725,1
10.13039/501100001321,10.13039/501100004608,1
10.13039/501100001321,10.13039/501100014188,1
10.13039/501100001321,10.13039/501100001352,1
10.13039/501100003246,10.13039/501100003329,1
10.13039/100001818,10.13039/501100001809,1
10.13039/100001818,10.13039/100006785,1
10.13039/100000181,10.13039/501100012226,1
10.13039/100000181,10.13039/100000183,1
10.13039/100000181,10.13039/501100002855,1
10.13039/100000181,10.13039/501100004826,1
10.13039/501100006606,10.13039/501100006606,1
10.13039/501100006606,10.13039/501100012165,1
10.13039/100000092,10.13039/501100012166,1
10.13039/100000092,10.13039/501100013290,1
10.13039/100000092,10.13039/100004917,1
10.13039/501100001352,10.13039/501100001809,1
10.13039/501100001352,10.13039/501100004608,1
10.13039/501100001352,10.13039/501100001381,1
10.13039/501100004359,10.13039/501100012226,1
10.13039/501100004359,10.13039/501100008530,1
10.13039/501100004359,10.13039/501100012165,1
10.13039/501100004359,10.13039/501100004359,1
10.13039/501100012165,10.13039/501100012226,1
10.13039/501100001711,10.13039/501100001807,1
10.13039/501100001711,10.13039/501100001804,1
10.13039/501100003995,10.13039/501100012166,1
10.13039/100007225,10.13039/501100001809,1
10.13039/501100007129,10.13039/501100008081,1
10.13039/100004440,10.13039/501100008530,1
10.13039/100004440,10.13039/501100000268,1
10.13039/100004440,10.13039/501100000275,1
10.13039/100004440,10.13039/100004440,1
10.13039/501100000268,10.13039/501100000780,1
10.13039/501100000268,10.13039/501100000275,1
10.13039/100005825,10.13039/100007065,1
10.13039/501100003329,10.13039/501100008530,1
10.13039/501100003329,10.13039/501100003593,1
10.13039/501100003593,10.13039/501100008530,1
10.13039/501100001665,10.13039/501100001871,1
10.13039/501100000275,10.13039/501100000288,1
10.13039/501100000275,10.13039/501100000780,1
10.13039/501100000275,10.13039/501100002790,1
10.13039/501100003819,10.13039/501100012166,1
10.13039/501100003819,10.13039/501100003819,1
10.13039/100000968,10.13039/100008536,1
10.13039/100000968,10.13039/100007065,1
10.13039/100000968,10.13039/100006227,1
10.13039/100000144,10.13039/501100001809,1
10.13039/100000144,10.13039/501100004543,1
10.13039/100000144,10.13039/501100008982,1
10.13039/100000144,10.13039/100000181,1
10.13039/100000144,10.13039/100000145,1
10.13039/501100010418,10.13039/501100014188,1
10.13039/501100003565,10.13039/501100003725,1
10.13039/501100003565,10.13039/501100003621,1
10.13039/100000069,10.13039/100000070,1
10.13039/100000069,10.13039/100006775,1
10.13039/100004320,10.13039/100006775,1
10.13039/100014718,10.13039/501100012226,1
10.13039/100014718,10.13039/501100012166,1
10.13039/501100012245,10.13039/501100013290,1
10.13039/501100012245,10.13039/501100012659,1
10.13039/501100002703,10.13039/501100012166,1
10.13039/501100002703,10.13039/501100004608,1
10.13039/501100002703,10.13039/501100002858,1
10.13039/501100002822,10.13039/501100013314,1
10.13039/501100002822,10.13039/501100004761,1
10.13039/100000055,10.13039/100008536,1
10.13039/100000055,10.13039/100000065,1
10.13039/100000065,10.13039/100008536,1
10.13039/100000065,10.13039/100000092,1
10.13039/100000025,10.13039/100000049,1
10.13039/100000025,10.13039/100000065,1
10.13039/100006785,10.13039/100008536,1
10.13039/100006785,10.13039/100006785,1
10.13039/100000060,10.13039/501100002790,1
10.13039/100000060,10.13039/100000069,1
10.13039/501100005416,10.13039/501100012165,1
10.13039/501100002347,10.13039/501100007601,1
10.13039/501100002663,10.13039/501100012226,1
10.13039/501100002663,10.13039/501100004826,1
10.13039/501100002663,10.13039/501100008982,1
10.13039/501100001459,10.13039/501100001809,1
10.13039/501100001459,10.13039/501100012166,1
10.13039/100004917,10.13039/501100001809,1
10.13039/501100000274,10.13039/501100001809,1
10.13039/501100000925,10.13039/501100001809,1
10.13039/501100000925,10.13039/501100002858,1
10.13039/501100013290,10.13039/501100013314,1
10.13039/501100001349,10.13039/501100001459,1
10.13039/501100001349,10.13039/501100001352,1
10.13039/501100007162,10.13039/501100012166,1
10.13039/501100004489,10.13039/501100004489,1
10.13039/501100001475,10.13039/501100001809,1
10.13039/100000183,10.13039/100000185,1
10.13039/100000183,10.13039/100006785,1
