from,to,value
10.13039/100009950,10.13039/501100003725,4
10.13039/100010002,10.13039/501100003725,4
10.13039/100012542,10.13039/501100001809,4
10.13039/100012542,10.13039/501100012166,4
10.13039/100002418,10.13039/501100008982,4
10.13039/501100001381,10.13039/501100001809,4
10.13039/501100000646,10.13039/501100007162,4
10.13039/501100000646,10.13039/501100001381,4
10.13039/501100000646,10.13039/501100012659,4
10.13039/100007225,10.13039/100007225,4
10.13039/100004440,10.13039/501100000266,4
10.13039/501100002822,10.13039/501100012166,4
10.13039/501100003711,10.13039/501100003711,4
10.13039/501100001809,10.13039/501100002341,3
10.13039/501100001809,10.13039/501100010226,3
10.13039/501100001809,10.13039/501100003995,3
10.13039/501100001809,10.13039/501100012165,3
10.13039/100000001,10.13039/501100004543,3
10.13039/100000001,10.13039/100000181,3
10.13039/100000001,10.13039/100000057,3
10.13039/100000001,10.13039/100000936,3
10.13039/100000006,10.13039/100000183,3
10.13039/100000006,10.13039/100000015,3
10.13039/501100003052,10.13039/501100003661,3
10.13039/501100003725,10.13039/501100014188,3
10.13039/501100003725,10.13039/501100007107,3
10.13039/501100012166,10.13039/501100012245,3
10.13039/501100004731,10.13039/501100012226,3
10.13039/100000002,10.13039/100008536,3
10.13039/100000002,10.13039/100000053,3
10.13039/100000002,10.13039/100007065,3
10.13039/100000002,10.13039/100000968,3
10.13039/100000002,10.13039/501100001659,3
10.13039/100000002,10.13039/100000050,3
10.13039/501100002855,10.13039/501100004826,3
10.13039/501100004826,10.13039/501100008081,3
10.13039/501100000038,10.13039/501100012166,3
10.13039/501100000038,10.13039/501100001804,3
10.13039/501100002551,10.13039/501100003725,3
10.13039/501100000266,10.13039/501100000781,3
10.13039/501100000266,10.13039/501100000268,3
10.13039/501100000288,10.13039/501100001809,3
10.13039/100004358,10.13039/501100003725,3
10.13039/100007847,10.13039/501100012166,3
10.13039/501100002367,10.13039/501100002855,3
10.13039/501100002858,10.13039/501100003453,3
10.13039/501100003453,10.13039/501100012245,3
10.13039/501100004663,10.13039/501100008081,3
10.13039/501100008081,10.13039/501100012226,3
10.13039/501100002341,10.13039/501100012166,3
10.13039/501100004739,10.13039/501100004826,3
10.13039/501100005089,10.13039/501100012166,3
10.13039/501100001807,10.13039/501100002322,3
10.13039/501100002701,10.13039/501100003621,3
10.13039/501100003392,10.13039/501100012226,3
10.13039/501100004735,10.13039/501100012166,3
10.13039/100000028,10.13039/501100008982,3
10.13039/100000028,10.13039/100000185,3
10.13039/100000005,10.13039/100000049,3
10.13039/100000049,10.13039/100000070,3
10.13039/100000054,10.13039/100000092,3
10.13039/100000054,10.13039/100004917,3
10.13039/501100010880,10.13039/501100012226,3
10.13039/501100006606,10.13039/501100012166,3
10.13039/501100007129,10.13039/501100012226,3
10.13039/501100003819,10.13039/501100012226,3
10.13039/501100012429,10.13039/501100012429,3
10.13039/501100007107,10.13039/501100007107,3
10.13039/501100002703,10.13039/501100012246,3
10.13039/501100004410,10.13039/501100004410,3
10.13039/501100000923,10.13039/501100012166,2
10.13039/501100000923,10.13039/501100000925,2
10.13039/501100000923,10.13039/501100000923,2
10.13039/501100001809,10.13039/501100003621,2
10.13039/501100001809,10.13039/501100002703,2
10.13039/501100001809,10.13039/501100004052,2
10.13039/100000001,10.13039/501100012226,2
